time	x	y	z	Vx	Vy	Vz
755143836.0000000000000000	3313074.9647766663692892	4331500.0269651878625154	3933139.5147973061539233	-1714.3233706154544507	-4292.0393842939320166	6160.0618100733163374
755143846.0000000000000000	3295715.1063023637980223	4288296.8778981538489461	3994480.4157362189143896	-1757.6100526605166579	-4348.4956206048882450	6107.9845200515592296
755143856.0000000000000000	3277923.5386148262768984	4244532.0230131754651666	4055296.5396496350876987	-1800.6642699035069199	-4404.3793252577488602	6055.1075741773865957
755143866.0000000000000000	3259702.6146074761636555	4200211.2241736222058535	4115579.9252281249500811	-1843.4803788618837643	-4459.6832021684949723	6001.4380394854842962
755143876.0000000000000000	3241054.7434394070878625	4155340.3158039879053831	4175322.6823472529649734	-1886.0527700054958586	-4514.4000353457931851	5946.9830857563192694
755143886.0000000000000000	3221982.3901922297663987	4109925.2040845104493201	4234516.9930895064026117	-1928.3758684810748036	-4568.5226897785951223	5891.7499844083313292
755143896.0000000000000000	3202488.0755197140388191	4063971.8661369965411723	4293155.1127550890669227	-1970.4441348288899007	-4622.0441123083655839	5835.7461073792437674
755143906.0000000000000000	3182574.3752903025597334	4017486.3492019986733794	4351229.3708614781498909	-2012.2520656915053223	-4674.9573324859393324	5778.9789259968210899
755143916.0000000000000000	3162243.9202225781045854	3970474.7698075016960502	4408732.1721316352486610	-2053.7941945145839782	-4727.2554634129937767	5721.4560098394249508
755143926.0000000000000000	3141499.3955137608572841	3922943.3129292712546885	4465655.9974707737565041	-2095.0650922396862370	-4778.9317025681402811	5663.1850255866902444
755143936.0000000000000000	3120343.5404613190330565	3874898.2311430172994733	4521993.4049315843731165	-2136.0593679890234853	-4829.9793326176513801	5604.1737358606615089
755143946.0000000000000000	3098779.1480777733959258	3826345.8437685286626220	4577737.0306678274646401	-2176.7716697421169556	-4880.3917222108284477	5544.4299980577097813
755143956.0000000000000000	3076809.0646987739019096	3777292.5360059295780957	4632879.5898761982098222	-2217.1966850043354498	-4930.1623267600416511	5483.9617631715582320
755143966.0000000000000000	3054436.1895845318213105	3727744.7580642118118703	4687413.8777263797819614	-2257.3291414672721658	-4979.2846892054703858	5422.7770746077303556
755143976.0000000000000000	3031663.4745146916247904	3677709.0242821979336441	4741332.7702791988849640	-2297.1638076609397103	-5027.7524407645723841	5360.8840669897372209
755143986.0000000000000000	3008493.9233767180703580	3627191.9122420838102698	4794629.2253928016871214	-2336.6954935977578316	-5075.5593016663315211	5298.2909649573175557
